Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
Process Graph Metrics,AdditionalLogs,gradual_drift_04,,,,"[473, 1160]","[500, 1000]",1.0,93.5,00:00:02,2.6848466000010376,0.0019177475714293,0.1,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_05,,,,[600],"[500, 1000]",0.6666666666666666,100.0,00:00:00,0.3932496000052197,0.0002621664000034,0.1,400.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_01,,,,"[542, 1092]","[500, 1000]",1.0,67.0,00:00:01,1.43029459999525,0.0009535297333301,0.005,300.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_02,300.0,300.0,10.0,"[336, 641, 1003, 1338]","[500, 1000]",0.6666666666666666,72.0,00:00:00,0.0311587000032886,2.0772466668859125e-05,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_09,400.0,400.0,150.0,"[408, 920]","[500, 1000]",1.0,86.0,00:00:00,0.0226971000010962,1.621221428649733e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_03,,,,"[633, 1152]","[500, 1000]",1.0,142.5,00:00:03,3.2737303000030806,0.0021824868666687,0.005,200.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_06,,,,[],"[500, 1000]",,,00:00:04,4.983013800003391,0.0033220092000022,0.005,300.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_01,,,,"[314, 658, 970, 1282]","[500, 1000]",0.6666666666666666,94.0,00:00:02,2.0487565000003087,0.0014633975000002,0.1,100.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_08,1200.0,1200.0,5.0,[1233],"[500, 1000]",,,00:00:00,0.0107572999986587,7.171533332439139e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.4561355999976513,0.0003040903999984,0.05,400.0,700.0,,,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_06,,,,"[np.float64(516.3181818181819), np.float64(645.0), np.float64(823.75), np.float64(919.0), np.float64(1017.2), np.float64(1219.25), np.float64(1452.0)]","[500, 1000]",0.4444444444444445,16.759090909090958,00:00:01,1.1670569999987492,0.0007780379999991,,,,400.0,40.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_06,,,,"[np.float64(521.9130434782609), np.float64(988.1333333333333), np.float64(1219.25), np.float64(1452.0)]","[500, 1000]",0.6666666666666666,16.889855072463774,00:00:01,1.1670569999987492,0.0007780379999991,,,,400.0,80.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_06,,,,"[np.float64(521.9130434782609), np.float64(1015.3235294117648), np.float64(1452.0)]","[500, 1000]",0.8,18.618286445012814,00:00:01,1.1670569999987492,0.0007780379999991,,,,400.0,120.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_06,,,,"[np.float64(816.2280701754386), np.float64(1452.0)]","[500, 1000]",0.5,183.77192982456145,00:00:01,1.1670569999987492,0.0007780379999991,,,,400.0,160.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_06,,,,"[np.float64(816.2280701754386), np.float64(1452.0)]","[500, 1000]",0.5,183.77192982456145,00:00:01,1.1670569999987492,0.0007780379999991,,,,400.0,200.0,,,
LCDD,AdditionalLogs,recurring_drift_06,800.0,800.0,100.0,[939],"[500, 1000]",0.6666666666666666,61.0,00:00:00,0.0721412999992026,4.80941999994684e-05,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_07,800.0,800.0,50.0,[913],"[500, 1000]",0.6666666666666666,87.0,00:00:00,0.0109635999979218,7.309066665281232e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,"[717, 1674]","[500, 1000]",,,00:00:12,12.313137900004222,0.0082087586000028,0.005,300.0,600.0,,,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_08,,,,[np.float64(1113.7058823529412)],"[500, 1000]",0.6666666666666666,113.70588235294122,00:00:00,0.4787015999972936,0.0003191343999981,,,,700.0,70.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_08,,,,[np.float64(810.7704918032787)],"[500, 1000]",0.6666666666666666,189.22950819672133,00:00:00,0.4787015999972936,0.0003191343999981,,,,700.0,140.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_08,,,,[np.float64(810.7704918032787)],"[500, 1000]",0.6666666666666666,189.22950819672133,00:00:00,0.4787015999972936,0.0003191343999981,,,,700.0,210.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_08,,,,[np.float64(810.7704918032787)],"[500, 1000]",0.6666666666666666,189.22950819672133,00:00:00,0.4787015999972936,0.0003191343999981,,,,700.0,280.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_08,,,,[np.float64(810.7704918032787)],"[500, 1000]",0.6666666666666666,189.22950819672133,00:00:00,0.4787015999972936,0.0003191343999981,,,,700.0,350.0,,,
