Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
LCDD,Ceravolo,sudden_trace_noise15_1000_ROI,,,,[],[499],,,00:00:00,0.0099935999996887,9.99359999968874e-06,600.0,600.0,5.0,,,,,
LCDD,Ceravolo,sudden_trace_noise15_1000_OIR,,,,[447],[499],1.0,52.0,00:00:00,0.0175733999994918,1.757339999949181e-05,100.0,100.0,50.0,,,,,
LCDD,Ostovar,Composite_ORI_output_ORI_5,,,,"[402, 804]","[999, 1999]",0.5,195.0,00:00:00,0.045319500000005,4.531950000000507e-05,400.0,400.0,50.0,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR_2,0.0001,300.0,400.0,[],"[999, 1999]",,,00:00:02,2.021784100000332,0.0020217841000003,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_cp,,,,[],[499],,,00:00:00,0.0156241999993653,1.5624199999365374e-05,1200.0,1200.0,200.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_re,0.005,400.0,700.0,[600],[499],1.0,101.0,00:00:00,0.1158177000006617,0.0001158177000006,,,,,,,,
Process Graph Metrics,Ostovar,Nested_ROI_output_ROI,0.1,200.0,500.0,[521],"[999, 1999]",,,00:00:01,1.4247065999998083,0.0014247065999998,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cf,0.1,400.0,700.0,[633],[499],1.0,134.0,00:00:01,1.339896200000112,0.0013398962000001,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_cd,,,,[],[499],,,00:00:00,0.0142466999996031,1.4246699999603152e-05,300.0,300.0,200.0,,,,,
LCDD,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,,,,"[102, 204, 307, 411, 513, 613, 713, 816, 916]","[999, 1999]",0.1818181818181818,83.0,00:00:00,0.0270090999993044,2.700909999930445e-05,100.0,100.0,200.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cd,0.05,200.0,700.0,[],[499],,,00:00:00,0.6233897000001889,0.0006233897000001,,,,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,0.05,300.0,600.0,[],"[999, 1999]",,,00:00:01,1.666165299999193,0.0016661652999991,,,,,,,,
LCDD,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,,,,"[303, 603, 903]","[999, 1999]",0.4,96.0,00:00:00,0.0397963000004892,3.979630000048928e-05,300.0,300.0,50.0,,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,0.005,400.0,700.0,[],"[999, 1999]",,,00:00:01,1.5815531000007468,0.0015815531000007,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop,0.05,100.0,700.0,[],"[999, 1999]",,,00:00:02,2.517761099999916,0.0025177610999999,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,0.005,400.0,400.0,[],"[999, 1999]",,,00:00:01,1.478283399999782,0.0014782833999997,,,,,,,,
Process Graph Metrics,Ostovar,Nested_ROI_output_ROI_2,0.0001,200.0,400.0,[],"[999, 1999]",,,00:00:02,2.5472749999999,0.0025472749999998,,,,,,,,
LCDD,Ostovar,Nested_IOR_output_IOR,,,,[],"[999, 1999]",,,00:00:00,0.0565317999999024,5.653179999990244e-05,400.0,400.0,200.0,,,,,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO_5,0.005,100.0,400.0,[],"[999, 1999]",,,00:00:04,4.185715599999639,0.0041857155999996,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise0_1000_re,,,,[],[499],,,00:00:00,0.0141521000005013,1.4152100000501375e-05,1200.0,1200.0,50.0,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,0.0001,100.0,400.0,[],"[999, 1999]",,,00:00:03,3.078007400000388,0.0030780074000003,,,,,,,,
LCDD,Ostovar,Atomic_Frequency_output_Frequency_5,,,,"[200, 404, 608, 809]","[999, 1999]",0.3333333333333333,190.0,00:00:00,0.0310287000002063,3.10287000002063e-05,200.0,200.0,10.0,,,,,
LCDD,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,,"[201, 402, 605, 810]","[999, 1999]",0.3333333333333333,189.0,00:00:00,0.0355403000003207,3.554030000032071e-05,200.0,200.0,20.0,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_cp,,,,[447],[499],1.0,52.0,00:00:00,0.0121741000002657,1.2174100000265752e-05,300.0,300.0,20.0,,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,0.005,200.0,400.0,[],"[999, 1999]",,,00:00:01,1.9013755999994828,0.0019013755999994,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,0.0001,200.0,600.0,[],"[999, 1999]",,,00:00:02,2.2092007999999623,0.0022092007999999,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_lp,0.0001,200.0,700.0,[519],[499],1.0,20.0,00:00:00,0.4761186999994606,0.0004761186999994,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_OIR,0.0001,200.0,700.0,[551],[499],1.0,52.0,00:00:03,3.8334491000005073,0.0038334491000005,,,,,,,,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO_5,0.05,200.0,600.0,[],"[999, 1999]",,,00:01:09,69.03181790000053,0.0690318179000005,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_re,0.0001,200.0,400.0,[533],[499],1.0,34.0,00:00:03,3.1952823999999964,0.0031952823999999,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cd,0.0001,100.0,700.0,[],[499],,,00:00:00,0.7883431000000201,0.0007883431,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_5,0.0001,200.0,500.0,[],"[999, 1999]",,,00:00:01,1.7199177000002237,0.0017199177000002,,,,,,,,
